"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"716 1372 SEYMOUR STREET","VVWDT","$595,000","6","1","1","805","2014","1","No","1","$304.61","$739.13","$599,000","$595,000","11/8/2015",,
"2403 1239 W GEORGIA STREET","VVWCB","$595,000","9","1","1","680","1998","17",,"1","$319.77","$875.00","$595,000","$595,000","11/24/2015","Yes","City"
"702 939 EXPO BOULEVARD","VVWYA","$597,500","10","2","2","878","2005","10","No",,"$452.18","$680.52","$610,000","$597,500","10/16/2015","Yes","CAMBIE BRIDGE"
"1407 1028 BARCLAY STREET","VVWWE","$598,000","31","1","1","663","2011","4",,"1","$256.46","$901.96","$609,000","$598,000","10/8/2015","Yes","CITY AND PARTIAL WATER"
"B1302 1331 HOMER STREET","VVWYA","$598,000","11","2","1","844","1989","26","Yes","1","$370.00","$708.53","$568,000","$598,000","10/9/2015","Yes","Peek-a-Boo View of Water"
"1707 1010 RICHARDS STREET","VVWYA","$598,800","12","2","2","741","2003","12","No","1","$342.69","$808.10","$598,800","$598,800","9/20/2015","Yes","CITY"
"606 950 CAMBIE STREET","VVWYA","$599,000","5","2","2","1,081","1995","20",,,"$490.63","$554.12","$595,000","$599,000","11/15/2015","No",
"1105 1055 RICHARDS STREET","VVWDT","$599,800","9","1","1","716","2009","6","Yes","1","$305.52","$837.71","$599,800","$599,800","11/25/2015","Yes","City Views"
"204 1995 BEACH AVENUE","VVWWE","$600,000","38","1","1","708","1976","39","Yes","1","$455.00","$847.46","$609,000","$600,000","12/14/2015","Yes","OCEAN"
"1202 1238 MELVILLE STREET","VVWCB","$600,000","3","2","2","875","1996","19","No","1","$386.00","$685.71","$598,000","$600,000","9/29/2015","Yes","WATER- COAL HARBOUR"
"304 1238 BURRARD STREET","VVWDT","$600,000","5","2","2","812","2003","12","No","1","$428.00","$738.92","$549,000","$600,000","12/11/2015",,
"1701 1005 BEACH AVENUE","VVWWE","$600,000","6","1","1","716","2004","11","Yes","1","$370.55","$837.99","$599,900","$600,000","10/28/2015","Yes","WATER, BURRARD, CITY"
"1702 1420 W GEORGIA STREET","VVWWE","$601,000","3","2","2","800","2003","12","No","1","$369.92","$751.25","$589,000","$601,000","9/4/2015","Yes","WATER & MOUNTAIN"
"808 689 ABBOTT STREET","VVWDT","$602,000","33","2","2","1,026","2009","6","No","1","$446.89","$586.74","$608,000","$602,000","10/4/2015","Yes","GARDEN"
"2101 583 BEACH CRESCENT","VVWYA","$605,000","8","0","1","768","2005","10","No","1","$321.75","$787.76","$589,900","$605,000","9/30/2015","Yes","Water, Mountains, City"
"409 1188 RICHARDS STREET","VVWYA","$607,100","6","2","2","893","1995","20","No","1","$310.93","$679.84","$559,000","$607,100","9/28/2015","Yes","PARK"
"2502 188 KEEFER PLACE","VVWDT","$609,900","1","2","2","932","2009","6","No","1","$0.00","$654.40","$609,900","$609,900","10/28/2015","Yes","PANORAMIC VIEW OF CITY & MNTN."
"504 183 KEEFER PLACE","VVWDT","$615,000","115","2","1","938","1996","19",,,"$414.18","$655.65","$622,000","$615,000","9/12/2015","Yes","CITY & SKYLINE"
"505 12 WATER STREET","VVWDT","$615,000","65","1","1","789","2009","6","No","1","$357.74","$779.47","$629,000","$615,000","11/5/2015","Yes","N. SHORE MTNS."
"1503 1372 SEYMOUR STREET","VVWDT","$615,000","3","1","1","795","2013","2","Yes","1","$296.48","$773.58","$622,000","$615,000","10/2/2015","Yes","CITY & FALSE CREEK CORRIDOR"
"703 188 KEEFER PLACE","VVWDT","$615,000","40","2","2","967","2009","6","No","1","$420.00","$635.99","$599,000","$615,000","10/18/2015","Yes","VIBRANT CITY"
"203 738 BROUGHTON STREET","VVWWE","$615,000","19","2","2","1,373","1982","33","Yes","1","$631.00","$447.92","$639,000","$615,000","9/21/2015","Yes","GARDENS AND COURTYARD"
"2807 909 MAINLAND STREET","VVWYA","$619,000","11","2","2","772","2007","8","Yes","1","$319.32","$801.81","$629,880","$619,000","9/21/2015","Yes","MOUNTAIN, CITY & WATER VIEWS"
"1604 837 W HASTINGS STREET","VVWDT","$619,000","19","1","1","751","1999","16","Yes","1","$299.47","$824.23","$638,800","$619,000","11/9/2015",,
"608 888 HAMILTON STREET","VVWDT","$620,000","9","2","2","965","1993","22","Yes","1","$330.11","$642.49","$599,900","$620,000","10/18/2015","Yes","GARDENS, CITY, MOUNTAINS"
"506 1325 ROLSTON STREET","VVWDT","$620,000","6","2","2","826","2014","1","No","1","$310.10","$750.61","$625,000","$620,000","10/26/2015","Yes","-"
"1104 183 KEEFER PLACE","VVWDT","$622,000","56","2","2","1,184","1996","19","No",,"$525.00","$525.34","$639,000","$622,000","11/4/2015","Yes","-"
"1607 1199 SEYMOUR STREET","VVWDT","$622,000","9","2","2","789","2005","10","Yes","1","$348.57","$788.34","$588,000","$622,000","11/22/2015",,
"314 1275 HAMILTON STREET","VVWYA","$625,000","4","1","1","767","2002","13","Yes","2","$320.00","$814.86","$629,900","$625,000","11/16/2015",,
"1507 938 SMITHE STREET","VVWDT","$626,000","10","2","2","856","2005","10",,"1","$331.05","$731.31","$599,900","$626,000","9/1/2015","Yes","ENGLISH BAY, WEST END"
"409 933 HORNBY STREET","VVWDT","$626,000","8","2","1","765","2005","10",,"1","$293.33","$818.30","$550,000","$626,000","11/17/2015",,
"411 1238 SEYMOUR STREET","VVWDT","$626,500","6","1","1","857","1996","19","Yes","1","$253.58","$731.04","$598,000","$626,500","9/14/2015","No",
"1005 1028 BARCLAY STREET","VVWWE","$628,000","9","1","1","780","2011","4","No","1","$297.82","$805.13","$638,000","$628,000","11/4/2015","Yes","MOUNTAIN AND CITY"
"1907 1111 ALBERNI STREET","VVWWE","$629,900","5","1","1","595","2008","7","Yes","1","$477.00","$1,058.66","$629,900","$629,900","9/26/2015","Yes","CITY VIEWS"
"1103 565 SMITHE STREET","VVWDT","$630,000","6","2","2","780","2009","6",,"1","$371.09","$807.69","$599,900","$630,000","9/29/2015","Yes","South West City Views"
"510 131 REGIMENT SQUARE","VVWDT","$630,000","7","2","2","940","2007","8","No","1","$455.55","$670.21","$600,000","$630,000","11/28/2015","Yes","-"
"1601 535 SMITHE STREET","VVWDT","$630,000","4","2","2","761","2010","5","Yes","1","$324.00","$827.86","$609,000","$630,000","9/13/2015","Yes","City and Mountains"
"2502 550 TAYLOR STREET","VVWDT","$630,000","7","1","2","794","2005","10","Yes","1","$336.55","$793.45","$589,000","$630,000","12/2/2015","Yes","FANTASTIC BURRARD INLET,MTNS"
"1205 933 HORNBY STREET","VVWDT","$630,000","9","2","2","856","2005","10","No","1","$331.05","$735.98","$599,000","$630,000","9/2/2015","Yes","CITY VIEW"
"2101 867 HAMILTON STREET","VVWDT","$632,000","234","1","2","1,043","1995","20",,,"$444.00","$605.94","$659,999","$632,000","10/15/2015","Yes","MOUNTAIN/WATER"
"1805 1438 RICHARDS STREET","VVWYA","$635,000","7","1","1","749","2004","11","No","1","$353.07","$847.80","$599,999","$635,000","10/6/2015","Yes","Water"
"303 789 JERVIS STREET","VVWWE","$635,000","10","2","2","1,060","1992","23","Yes","2","$486.34","$599.06","$635,000","$635,000","11/15/2015",,
"3206 33 SMITHE STREET","VVWYA","$635,000","17","1","1","723","2008","7",,,"$321.31","$878.28","$628,888","$635,000","12/10/2015","Yes","."
"1004 1199 SEYMOUR STREET","VVWDT","$635,000","3","2","2","840","2005","10","Yes","1","$372.44","$755.95","$624,900","$635,000","9/11/2015","Yes","Emery Barnes Park, City, Yaletown"
"703 1455 HOWE STREET","VVWYA","$635,000","0","1","1","815","2008","7",,"1","$466.35","$779.14","$635,000","$635,000","9/18/2015","No",
"1601 565 SMITHE STREET","VVWDT","$636,000","2","2","2","756","2009","6","Yes","1","$371.09","$841.27","$599,000","$636,000","11/7/2015","Yes","CITY"
"602 131 REGIMENT SQUARE","VVWDT","$636,250","6","2","2","958","2007","8",,"1","$466.03","$664.14","$599,000","$636,250","11/22/2015","Yes","CITY&SOME MOUNTAIN"
"1701 1255 SEYMOUR STREET","VVWDT","$638,000","2","2","2","797","2008","7","No","1","$320.00","$800.50","$599,900","$638,000","10/21/2015","Yes","PARK,MOUNTAIN,CITY,FALSE CREEK"
"105 2015 HARO STREET","VVWWE","$638,000","226","2","1","931","1952","63","Yes","1","$319.00","$685.28","$649,000","$638,000","12/9/2015","Yes","Direct water views-Lost Lagoon"
"2310 668 CITADEL PARADE","VVWDT","$639,800","63","2","2","935","2007","10","Yes","2","$422.70","$684.28","$699,900","$639,800","10/19/2015","Yes","CITY"
