Address,SubArea,Price,DaysOnMarket,Bedrooms,Bathrooms,FloorArea,YearBuilt,Age,Locker,Parking,MaintenanceFees,SalePricePerSquareFoot,List Price,Sold Price,Sold Date,View,VwSpecify,ValueOfView,ValueOfSubArea,Sold Timestamp
706 939 HOMER STREET,VVWYA,300000,108.0,0.0,1.0,448.0,1997.0,16,1.0,1.0,1.99,6.6964,30.9,30.0,2014-02-14,Yes,YALETOWN,1.0,4.0,1392336000.0
404 969 RICHARDS STREET,VVWDT,302000,9.0,0.0,1.0,420.0,2002.0,12,1.0,1.0,1.69,7.190499999999999,30.49,30.2,2014-01-27,,,0.0,2.0,1390780800.0
1006 939 HOMER STREET,VVWYA,302500,50.0,0.0,1.0,455.0,1997.0,16,0.0,1.0,2.0506,6.6484000000000005,31.7,30.25,2014-01-10,Yes,YALETOWN,1.0,4.0,1389312000.0
103 1720 BARCLAY STREET,VVWWE,303000,83.0,2.0,1.0,787.0,1970.0,44,1.0,1.0,3.85,3.8501,29.99,30.3,2014-03-30,Yes,TREE LINED STREET,1.0,3.0,1396137600.0
2501 438 SEYMOUR STREET,VVWDT,303000,39.0,1.0,1.0,536.0,1997.0,17,1.0,1.0,3.5281000000000002,5.653,31.8,30.3,2014-04-22,Yes,CITY VIEW,2.0,2.0,1398124800.0
603 1045 HARO STREET,VVWWE,303000,12.0,1.0,1.0,560.0,1980.0,34,0.0,0.0,2.04,5.4107,31.29,30.3,2014-06-28,No,,-1.0,3.0,1403913600.0
1405 1146 HARWOOD STREET,VVWWE,305000,51.0,1.0,1.0,500.0,1974.0,40,1.0,1.0,1.9543000000000001,6.1,31.15,30.5,2014-05-07,Yes,"DOWNTOWN, CITY & MOUNTAIN VIEW",2.0,3.0,1399420800.0
302 1649 COMOX STREET,VVWWE,305000,13.0,1.0,1.0,478.0,1976.0,38,1.0,1.0,1.976,6.380800000000001,30.85,30.5,2014-06-17,Yes,TREES,1.0,3.0,1402963200.0
3101 939 HOMER STREET,VVWYA,305000,4.0,0.0,1.0,442.0,1997.0,17,1.0,1.0,1.992,6.900499999999999,30.98,30.5,2014-03-07,Yes,WEST & NORTH - CITY & COAL HARBOUR,2.0,4.0,1394150400.0
1101 1330 HORNBY STREET,VVWDT,305750,4.0,1.0,1.0,575.0,1987.0,27,1.0,1.0,2.445,5.3174,31.5,30.575,2014-01-10,Yes,CITY AND SOME FALSE CREEK,2.0,2.0,1389312000.0
2008 501 PACIFIC STREET,VVWDT,307000,6.0,0.0,1.0,408.0,1999.0,15,0.0,1.0,2.05,7.524500000000001,31.28,30.7,2014-01-13,Yes,-NORTHEAST,1.0,2.0,1389571200.0
3108 233 ROBSON STREET,VVWDT,308000,62.0,0.0,1.0,442.0,2009.0,5,0.0,0.0,1.5591,6.9683,31.99,30.8,2014-06-30,Yes,"CITY, SOME WATER",2.0,2.0,1404086400.0
105 1280 NICOLA STREET,VVWWE,308000,164.0,1.0,1.0,581.0,1987.0,26,1.0,1.0,2.4099,5.3012,31.5,30.8,2014-03-03,,,0.0,3.0,1393804800.0
1904 438 SEYMOUR STREET,VVWDT,310000,13.0,1.0,1.0,570.0,1996.0,18,1.0,1.0,3.6759,5.4386,31.49,31.0,2014-04-30,Yes,UNOBSTRUCTED & WATER MOUNTAIN,2.0,2.0,1398816000.0
706 438 SEYMOUR STREET,VVWDT,310000,46.0,1.0,1.0,529.0,1996.0,18,1.0,1.0,3.3747000000000003,5.8601,32.99,31.0,2014-03-24,Yes,WATER,3.0,2.0,1395619200.0
710 1177 HORNBY STREET,VVWDT,310000,3.0,1.0,1.0,628.0,1982.0,32,1.0,1.0,2.9444999999999997,4.9363,31.9,31.0,2014-03-27,Yes,PARTIAL VIEW OF ENGLISH BAY,1.0,2.0,1395878400.0
709 131 REGIMENT SQUARE,VVWDT,310000,16.0,1.0,1.0,502.0,2008.0,6,0.0,0.0,2.3236000000000003,6.1753,30.8,31.0,2014-05-03,Yes,CITYSCAPE AND MOUNTAINS IN THE DISTANCE.,2.0,2.0,1399075200.0
315 1550 BARCLAY STREET,VVWWE,310000,4.0,1.0,1.0,606.0,1981.0,33,0.0,0.0,2.3979,5.1155,31.99,31.0,2014-02-08,No,,-1.0,3.0,1391817600.0
808 1283 HOWE STREET,VVWDT,310900,46.0,1.0,1.0,479.0,2017.0,0,0.0,0.0,1.8202,6.4906,31.09,31.09,2014-03-25,,,0.0,2.0,1395705600.0
412 1333 W GEORGIA STREET,VVWCB,311000,10.0,1.0,1.0,420.0,2006.0,8,1.0,1.0,1.7375,7.4048,32.5,31.1,2014-01-30,No,,-1.0,1.0,1391040000.0
402 989 BEATTY STREET,VVWYA,312000,8.0,0.0,1.0,483.0,2004.0,10,1.0,1.0,2.0253,6.4596,31.99,31.2,2014-06-24,,,0.0,4.0,1403568000.0
913 1177 HORNBY STREET,VVWDT,313000,7.0,1.0,1.0,672.0,1995.0,19,1.0,1.0,3.1519,4.6577,31.99,31.3,2014-04-07,Yes,DOWNTOWN,1.0,2.0,1396828800.0
208 588 BROUGHTON STREET,VVWCB,314000,34.0,0.0,1.0,484.0,1995.0,19,0.0,1.0,2.3996,6.4876,31.9,31.4,2014-04-18,,,0.0,1.0,1397779200.0
201 789 DRAKE STREET,VVWDT,315000,3.0,0.0,1.0,400.0,1990.0,24,0.0,0.0,1.7126,7.875,29.5,31.5,2014-04-13,,,0.0,2.0,1397347200.0
905 1850 COMOX STREET,VVWWE,315000,16.0,1.0,1.0,582.0,1969.0,45,1.0,1.0,2.94,5.4124,32.5,31.5,2014-02-21,Yes,ENGLISH BAY & STANLEY PARK,1.0,3.0,1392940800.0
1908 501 PACIFIC STREET,VVWDT,315000,31.0,0.0,1.0,400.0,1999.0,15,1.0,1.0,2.0433000000000003,7.875,31.99,31.5,2014-02-13,Yes,CITY & FALSE CREEK,2.0,2.0,1392249600.0
1406 1295 RICHARDS STREET,VVWDT,315000,3.0,1.0,1.0,470.0,2002.0,12,1.0,0.0,1.6744999999999999,6.702100000000001,32.0,31.5,2014-02-21,Yes,CITY & FALSE CREEK,2.0,2.0,1392940800.0
2004 1330 HARWOOD STREET,VVWWE,315000,93.0,1.0,1.0,620.0,1970.0,44,1.0,1.0,3.1982999999999997,5.0806000000000004,33.5,31.5,2014-04-16,Yes,"CITY, MOUNTAIN & WATER",2.0,3.0,1397606400.0
1404 789 DRAKE STREET,VVWDT,315000,8.0,1.0,1.0,652.0,1990.0,24,0.0,0.0,0.0,4.8313,31.8,31.5,2014-04-24,Yes,CORRIDOR VIEW,1.0,2.0,1398297600.0
210 1655 NELSON STREET,VVWWE,316000,7.0,1.0,1.0,687.0,1968.0,46,1.0,1.0,3.22,4.5997,31.8,31.6,2014-04-08,Yes,TREE LINED STREET & CITY VIEW,2.0,3.0,1396915200.0
